,Surname
167,Hunter
168,Shaw
169,Dixon
170,Mason
171,Snyder
172,Hunt
173,Hicks
174,Black
175,Palmer
176,Salazar
177,Holmes
178,Rose
179,Fox
180,Wagner
181,Boyd
182,Meyer
183,Stone
184,Robertson
185,Warren
186,Mills
187,Soto
188,Garza
189,Santos
190,Vazquez
191,Rice
192,Schmidt
193,Daniels
194,Weaver
195,Grant
196,Stephens
197,Ferguson
198,Yang
199,Le
200,Ryan
201,Gardner
202,Kelley
203,Dunn
204,Payne
205,Nichols
206,Hawkins
207,Spencer
208,Pena
209,Hansen
210,Alvarado
211,Knight
212,Pierce
213,Arnold
214,Peters
215,Elliott
216,Hart
217,Bradley
218,Ray
219,Hudson
220,Armstrong
221,Duncan
222,Lane
223,Riley
224,Andrews
225,Carroll
226,Delgado
227,Nunez
228,Cunningham
229,George
230,Berry
231,Liu
232,Rios
233,Matthews
234,Perkins
235,Richards
236,Johnston
237,Santiago
238,Contreras
239,Guerrero
240,Estrada
241,Willis
242,Ortega
243,Sandoval
244,Hoffman
245,Lawrence
246,Carpenter
247,Greene
248,Chapman
249,Valdez
250,Watkins
251,Zhang
252,Maldonado
253,Wheeler
254,Harper
255,Burke
256,Larson
257,Vega
258,Lin
259,Dominguez
260,Obrien
261,Morrison
262,Carlson
263,Franklin
264,Carr
265,Jacobs
266,Lawson
267,Jensen
268,Lynch
269,Austin
270,Wong
271,Bishop
272,Harvey
273,Park
274,Montgomery
275,Mejia
276,Sims
277,Oliver
278,Dean
279,Williamson
280,Reid
281,Rojas
282,Joseph
283,Gilbert
284,Espinoza
285,Howell
286,Mccoy
287,Hanson
288,Luna
289,Weber
290,Marquez
291,Burton
292,Fuller
293,Acosta
294,Padilla
295,Welch
296,Banks
297,Fields
298,Lucas
299,Day
300,Garrett
301,Walsh
302,Khan
303,May
304,Pham
305,Little
306,Walters
307,Davidson
308,Bowman
309,Figueroa
310,Schultz
311,Fowler
312,Brewer
313,Huang
314,Juarez
315,Molina
316,Pearson
317,Wu
318,Holland
319,Schneider
320,Navarro
321,Curtis
322,Newman
323,Douglas
324,Barrett
325,Avila
326,Cortez
327,Campos
328,Keller
329,Miranda
330,Wade
331,Hopkins
332,Beck
333,Chambers
334,Stanley
335,Deleon
336,Barnett
337,Ayala
338,Bates
339,Caldwell
340,Lowe
341,Lambert
342,Frazier
343,Schwartz
344,Duran
345,Byrd
346,Powers
347,Neal
348,Craig
349,Fleming
350,Sutton
351,Leonard
352,Rhodes
353,Carrillo
354,Cohen
355,Jennings
356,Cabrera
357,Moran
358,Shelton
359,Gregory
360,Watts
361,Leon
362,Steele
363,Norris
364,Mcdaniel
365,Ali
366,Becker
367,Parks
368,Barker
369,Vaughn
370,Love
371,Terry
372,Chang
373,Lara
374,Hale
375,Haynes
376,Fuentes
377,Benson
378,Miles
379,Holt
380,Mann
381,Zimmerman
382,Lyons
383,Chan
384,Robles
385,Dawson
386,Horton
387,Wolfe
388,Graves
389,Salinas
390,Mckinney
391,Solis
392,Bush
393,Warner
394,Mccarthy
395,Paul
396,Fletcher
397,Klein
398,Reeves
399,Page
400,Rivas
401,Erickson
402,Simon
403,Cervantes
404,Velasquez
405,Francis
406,Daniel
407,Ochoa
408,Hardy
409,Thornton
410,Baldwin
411,Pacheco
412,Shah
413,Aguirre
414,Calderon
415,Oconnor
416,Delacruz
417,Cummings
418,Serrano
419,Ball
420,Cardenas
421,Higgins
422,Bowen
423,Gill
424,Griffith
425,Sharp
426,Robbins
427,Blair
428,Quinn
429,Barber
430,Kaur
431,Cross
432,Rosales
433,Ramsey
434,Christensen
435,Moss
436,Ahmed
437,Dennis
438,Swanson
439,Chandler
440,Rodgers
441,Fitzgerald
442,Curry
443,Roman
444,Stevenson
445,Mclaughlin
446,Doyle
447,Manning
448,Garner
449,Blake
450,Walton
451,Newton
452,Mcgee
453,Reese
454,Gross
455,Burgess
456,Montoya
457,Franco
458,Harmon
459,Fischer
460,Trujillo
461,Adkins
462,Person
463,Webster
464,Brady
465,Clarke
466,Wolf
467,Mack
468,Goodman
469,Colon
470,Potter
471,Goodwin
472,Suarez
473,Castaneda
474,Hines
475,Escobar
476,Guerra
477,Todd
478,Tate
479,Cannon
480,Hubbard
481,Mullins
482,Rowe
483,Camacho
484,Valencia
485,Hodges
486,Saunders
487,Gallagher
488,Malone
489,Farmer
490,Hampton
491,Townsend
492,Sherman
493,Hammond
494,Yu
495,Ingram
496,Maxwell
497,Gallegos
498,Wise
499,Orozco
500,Velazquez
501,Schroeder
502,Huynh
503,Waters
504,Andrade
505,Barton
506,Logan
507,Yoder
508,Parsons
509,Santana
510,Buchanan
511,Glover
512,Osborne
513,Norman
514,Harrington
515,Frank
516,Strickland
517,Pineda
518,Casey
519,Floyd
520,Ibarra
521,Salas
522,Gibbs
523,Patton
524,Bowers
525,Charles
526,Bauer
527,Tyler
528,Cobb
529,Mueller
530,Lloyd
531,Villanueva
532,Mercado
533,Mcguire
534,Mcbride
535,Moody
536,Flynn
537,Villarreal
538,French
539,Zamora
540,Pope
541,Hartman
542,Mccormick
543,Sparks
544,Conner
545,Hogan
546,Kramer
547,Lindsey
548,Macias
549,Yates
550,Lang
551,Shepherd
552,Marsh
553,Bautista
554,Lam
555,Norton
556,Barrera
557,Pratt
558,Stokes
559,Drake
560,Owen
561,Arias
562,Petersen
563,Cain
564,Melendez
565,Brock
566,Trevino
567,Burnett
568,Mckenzie
569,Morton
570,Olsen
571,Lamb
572,Hess
573,Ballard
574,Patrick
575,Lozano
576,Shaffer
577,Mora
578,Nash
579,Hoover
580,Cochran
581,Vang
582,Roth
583,Flowers
584,Holloway
585,Wilkins
586,Zuniga
587,Weiss
588,Rangel
589,Briggs
590,Ho
591,Nicholson
592,Larsen
593,Houston
594,Meyers
595,Greer
596,Decker
597,Bryan
598,Roberson
599,Summers
600,Bass
601,Bonilla
602,Short
603,Collier
604,Valenzuela
605,Roy
606,Underwood
607,Carson
608,Morrow
609,Whitaker
610,Clayton
611,Rocha
612,Wilcox
613,Carey
614,Jefferson
615,Davenport
616,Velez
617,Monroe
618,Copeland
619,Huff
620,Sosa
621,Conley
622,Poole
623,Choi
624,Cameron
625,Massey
626,Rosario
627,Hood
628,Acevedo
629,Pittman
630,Benitez
631,Singleton
632,Anthony
633,Meza
634,Wall
635,Bradford
636,Skinner
637,Combs
638,Randall
639,Galvan
640,Kirby
641,Atkinson
642,Bridges
643,Boone
644,Mathis
645,Wilkinson
646,Vincent
647,Gates
648,Kirk
649,Richard
650,Christian
651,Bruce
652,Villa
653,Zavala
654,Hodge
655,York
656,Bond
657,Farrell
658,Tapia
659,Sweeney
660,Abbott
661,Wyatt
662,Rubio
663,Phelps
664,Allison
665,Arroyo
666,Foley
667,Cortes
668,Chase
669,Dickerson
670,Mathews
671,Heath
672,Oneill
673,Atkins
674,Cisneros
675,Shields
676,Beltran
677,Horn
678,Barron
679,Dalton
680,Savage
681,Callahan
682,Ponce
683,Kane
684,Harrell
685,Glenn
686,Guevara
687,Wiggins
688,Garrison
689,Boyer
690,Cantu
691,Huffman
692,Phan
693,Hancock
694,Ware
695,Rich
696,Brennan
697,Dillon
698,Cline
699,Arellano
700,Hensley
701,Golden
702,Koch
703,Mcdowell
704,Montes
705,Parrish
706,Marks
707,Barry
708,Grimes
709,Clay
710,Villegas
711,Baxter
712,Pitts
713,Booth
714,Mata
715,Wiley
716,Lu
717,Sawyer
718,Melton
719,Berg
720,Gilmore
721,Humphrey
722,Stephenson
723,Prince
724,Solomon
725,Dejesus
726,Sharma
727,Tanner
728,Snow
729,Hobbs
730,Dyer
731,David
732,Oneal
733,Mcclain
734,Johns
735,Moon
736,Hutchinson
737,Beard
738,Walter
739,Russo
740,Henson
741,Mcclure
742,Murillo
743,Mosley
744,Wilkerson
745,Beasley
746,Huerta
747,Truong
748,Keith
749,Xiong
750,Vo
751,Macdonald
752,Preston
753,Vance
754,Davila
755,Eaton
756,English
757,Hurst
758,Blackwell
759,Palacios
760,Small
761,Kemp
762,Xu
763,Stafford
764,Cordova
765,Chung
766,Shannon
767,Marin
768,Mccullough
769,Nolan
770,Salgado
771,Merritt
772,Vu
773,Strong
774,Woodard
775,Winters
776,Barajas
777,Kline
778,Cuevas
779,Kerr
780,Zheng
781,Knox
782,Duarte
783,Odonnell
784,Barr
785,Rosas
786,Jacobson
787,Meadows
788,Lester
789,Bullock
790,Gaines
791,Mcintyre
792,Conway
793,Tang
794,Orr
795,Nielsen
796,Leach
797,Roach
798,Kent
799,Whitehead
800,Pruitt
801,Mckee
802,Bravo
803,Dorsey
804,Hull
805,Berger
806,Bartlett
807,Sloan
808,Mclean
809,Esparza
810,Mccall
811,Stein
812,Leblanc
813,Browning
814,Calhoun
815,Hendricks
816,Durham
817,Hanna
818,Ventura
819,Stout
820,Gentry
821,Buck
822,Middleton
823,Blankenship
824,Mcintosh
825,Quintero
826,Mohamed
827,Bradshaw
828,Ellison
829,Frost
830,Sexton
831,Lowery
832,Livingston
833,Sellers
834,Portillo
835,Gillespie
836,Felix
837,Noble
838,Lim
839,Buckley
840,Hardin
841,House
842,Glass
843,Enriquez
844,Spears
845,Howe
846,Blanco
847,Knapp
848,Medrano
849,Trejo
850,Corona
851,Stark
852,Reilly
853,Morse
854,Benjamin
855,Tan
856,Schaefer
857,Mcfarland
858,Weeks
859,Bentley
860,Giles
861,Pennington
862,Frederick
863,Hahn
864,Cheng
865,Randolph
866,Fitzpatrick
867,Herman
868,Walls
869,Hebert
870,Zhou
871,Valentine
872,Lugo
873,Crosby
874,Mays
875,Pierre
876,Zhao
877,Donovan
878,Hickman
879,Mcmillan
880,Ngo
881,Conrad
882,Bernal
883,Mahoney
884,Lucero
885,Pace
886,Delarosa
887,Moses
888,Peralta
889,Costa
890,Hurley
891,Ma
892,Mcmahon
893,Espinosa
894,Raymond
895,Case
896,Mcconnell
897,Friedman
898,Harding
899,Bender
900,Nava
901,Correa
902,Do
903,Peck
904,Boyle
905,Vaughan
906,Landry
907,Bernard
908,Michael
909,Everett
910,Mayer
911,Rivers
912,Sampson
913,Pugh
914,Blackburn
915,Duffy
916,Kumar
917,Rush
918,John
919,Cano
920,Avery
921,Magana
922,Villalobos
923,Ayers
924,Gould
925,Mckay
926,Dunlap
927,Shepard
928,Sun
929,Dang
930,Fry
931,Lynn
932,Clements
933,Best
934,Crane
935,Andersen
936,Blanchard
937,Levy
938,Quintana
939,Blevins
940,Ashley
941,Potts
942,Alfaro
943,Avalos
944,Farley
945,Finley
946,Nieves
947,Esquivel
948,Amaya
949,Dougherty
950,Parra
951,Hoang
952,Han
953,Benton
954,Leal
955,Herring
956,Sierra
957,Nixon
958,Hayden
959,Jaramillo
960,Galindo
961,Haley
962,Moyer
963,Cho
964,Booker
965,Zhu
966,Dodson
967,Krueger
968,Frye
969,Richmond
970,Mullen
971,Huber
972,Bean
973,Bui
974,Horne
975,Rasmussen
976,Sheppard
977,Woodward
978,Mcpherson
979,Brandt
980,Mccarty
981,Donaldson
982,Quinones
983,Spence
984,Kang
985,Oconnell
986,Maynard
987,Schmitt
988,Estes
989,Sanford
990,Maddox
991,Coffey
992,Stuart
993,Burch
994,Cardona
995,Good
996,Stanton
997,Faulkner
998,Dudley
999,Compton
1000,Hinton
1001,Church
1002,Waller
1003,Reyna
1004,Cherry
1005,Madden
1006,Rosa
1007,Proctor
1008,Mccann
1009,Davies
1010,Abraham
1011,Haas
1012,Terrell
1013,Jiang
1014,Bird
1015,Kaufman
1016,Jarvis
1017,Braun
1018,Mcgrath
1019,Galloway
1020,Novak
1021,Dickson
1022,Mayo
1023,Ly
1024,Hester
1025,Hendrix
1026,Archer
1027,Petty
1028,Whitney
1029,Rollins
1030,Barrios
1031,Forbes
1032,Saenz
1033,Baird
1034,Pollard
1035,Duke
1036,Daugherty
1037,Werner
1038,Rowland
1039,Odom
1040,Travis
1041,Cantrell
1042,Vera
1043,Saldana
1044,Hatfield
1045,Hays
1046,Hong
1047,Holden
1048,Branch
1049,Mcknight
1050,Mercer
1051,Joyce
1052,Riggs
1053,Baez
1054,Zapata
1055,Velasco
1056,Downs
1057,Krause
1058,Mcneil
1059,Hooper
1060,Ng
1061,Barlow
1062,Irwin
1063,Tovar
1064,Cooley
1065,Liang
1066,Bray
1067,Kaiser
1068,Gamble
1069,Pereira
1070,Ferrell
1071,Law
1072,Lindsay
1073,Bright
1074,Kidd
1075,Ewing
1076,Noel
1077,Holder
1078,Frey
1079,Mcgowan
1080,Shea
1081,Mooney
1082,Key
1083,Chaney
1084,Cotton
1085,Ritter
1086,Becerra
1087,Bonner
1088,Carney
1089,Gupta
1090,Lehman
1091,Dotson
1092,Merrill
1093,Haney
1094,Riddle
1095,Cooke
1096,Holman
1097,Newell
1098,Fritz
1099,Aguilera
1100,Delaney
1101,Dailey
1102,Bolton
1103,Lancaster
1104,Song
1105,Castellanos
1106,Hassan
1107,Lake
1108,Cordero
1109,Justice
1110,Osborn
1111,Byers
1112,Goff
1113,Slater
1114,Levine
1115,Valle
1116,Sears
1117,Fulton
1118,Winter
1119,Muniz
1120,Costello
1121,Katz
1122,Gallardo
1123,Carver
1124,Mcfadden
1125,Guthrie
1126,Cowan
1127,Daly
1128,Kuhn
1129,Albert
1130,Snider
1131,Mcleod
1132,Guy
1133,Lutz
1134,Workman
1135,Lau
1136,Pickett
1137,Donnelly
1138,Maloney
1139,Kinney
1140,Springer
1141,Segura
1142,Witt
1143,Orellana
1144,Gorman
1145,Minor
1146,Marino
1147,Craft
1148,Crowley
1149,Pearce
1150,Cleveland
1151,Donahue
1152,Gay
1153,Chu
1154,Beach
1155,Hurtado
1156,Mcdermott
1157,Tillman
1158,Guillen
1159,Bruno
1160,Dillard
1161,Osorio
1162,Vogel
1163,Hu
1164,Alford
1165,Flanagan
1166,Mccabe
1167,Britt
1168,Alonso
1169,Wilder
1170,Hartley
1171,Wooten
1172,Carrasco
1173,Lange
1174,Dodd
1175,Starr
1176,Hendrickson
1177,Shoemaker
1178,Finch
1179,Odell
1180,Moser
1181,Emerson
1182,Ferreira
1183,Saucedo
1184,Mackey
1185,Franks
1186,Whitfield
1187,Kendall
1188,Sweet
1189,Welsh
1190,Duong
1191,Holley
1192,Caballero
1193,Chacon
1194,Bacon
1195,Crowe
1196,Zepeda
1197,Byrne
1198,Childers
1199,Cash
1200,Elder
1201,Mayfield
1202,Alston
1203,Rodrigues
1204,Connolly
1205,Sutherland
1206,Kirkland
1207,Meeks
1208,Vigil
1209,Talley
1210,Hewitt
1211,Gibbons
1212,Lemus
1213,Cramer
1214,Wynn
1215,Richter
1216,Camp
1217,Connor
1218,Dale
1219,England
1220,Ratliff
1221,Mcallister
1222,Ritchie
1223,Sharpe
1224,Helms
1225,Goldberg
1226,Tracy
1227,Goldstein
1228,Morin
1229,Oneil
1230,Kessler
1231,Farris
1232,Gilliam
1233,Arredondo
1234,Hyde
1235,Pate
1236,Godfrey
1237,Rosado
1238,Joyner
1239,Tyson
1240,Childs
1241,Hatcher
1242,Chamberlain
1243,Carranza
1244,Chin
1245,Sorensen
1246,Romano
1247,Downing
1248,Mobley
1249,Britton
1250,Haines
1251,Escobedo
1252,Hickey
1253,Kaplan
1254,Grace
1255,Hilton
1256,Coronado
1257,Bermudez
1258,Holcomb
1259,Paredes
1260,Sinclair
1261,Rankin
1262,Knowles
1263,Arthur
1264,Kern
1265,Dye
1266,Aquino
1267,Paz
1268,Womack
1269,Hollis
1270,Varela
1271,Madison
1272,Foreman
1273,Gil
1274,Lyon
1275,Fink
1276,Wills
1277,Delatorre
1278,Hastings
1279,Doherty
1280,Renteria
1281,Lockhart
1282,Quiroz
1283,Denton
1284,Olvera
1285,He
1286,Mccray
1287,Manuel
1288,Thao
1289,Rutherford
1290,Sykes
1291,Pierson
1292,Sargent
1293,Hatch
1294,Montano
1295,Dwyer
1296,Burks
1297,Belcher
1298,Pryor
1299,Boggs
1300,Madrid
1301,Gabriel
1302,Tuttle
1303,Baca
1304,Magee
1305,Muller
1306,Jamison
1307,Rahman
1308,Fonseca
1309,Carmona
1310,Mckenna
1311,Dolan
1312,Broussard
1313,Burgos
1314,Louis
1315,Soriano
1316,Covington
1317,Slaughter
1318,Kendrick
1319,Langley
1320,Kenney
1321,Leyva
1322,Madrigal
1323,Cao
1324,Granados
1325,Mcgill
1326,Boyce
1327,Hopper
1328,Head
1329,Dempsey
1330,Sheehan
1331,Quezada
1332,Harden
1333,Mcnamara
1334,Courtney
1335,Puckett
1336,Locke
1337,Ibrahim
1338,Michel
1339,Clemons
1340,Corbin
1341,Burt
1342,Stinson
1343,Webber
1344,Polk
1345,Mcginnis
1346,Cassidy
1347,Romo
1348,Aviles
1349,Rico
1350,Rucker
1351,Herron
1352,Hinojosa
1353,Lott
1354,Shirley
1355,Sterling
1356,Bland
1357,Hamm
1358,Dickinson
1359,Gomes
1360,Rutledge
1361,Downey
1362,Dunbar
1363,Pike
1364,Robison
1365,Whitley
1366,Jacob
1367,Ocampo
1368,Christopher
1369,Elias
1370,Simms
1371,Gamez
1372,Gustafson
1373,Jung
1374,Kirkpatrick
1375,Burris
1376,Nieto
1377,Nicholas
1378,Bingham
1379,Goss
1380,Meier
1381,Pina
1382,Fraser
1383,Bowling
1384,Corbett
1385,Rouse
1386,Rossi
1387,Grady
1388,Couch
1389,Ott
1390,Arevalo
1391,Dewitt
1392,Yanez
1393,Garland
1394,Aragon
1395,Woodruff
1396,Dasilva
1397,Serna
1398,Crabtree
1399,Singer
1400,Jean
1401,Canales
1402,Elmore
1403,Roe
1404,Machado
1405,Stern
1406,Weston
1407,Samuel
1408,Francisco
1409,Shafer
1410,Hutchins
1411,Simons
1412,Abrams
1413,Daley
1414,Smart
1415,Emery
1416,Battle
1417,Vinson
1418,Gleason
1419,Mcclellan
1420,Beatty
1421,Herbert
1422,Schumacher
1423,Givens
1424,Worley
1425,Seymour
1426,Plummer
1427,Thomson
1428,Rosenberg
1429,Ervin
1430,Vela
1431,Hutchison
1432,Albright
1433,Eldridge
1434,Uribe
1435,Blue
1436,Ziegler
1437,Solano
1438,Nix
1439,Swartz
1440,Greenwood
1441,Gregg
1442,Swain
1443,Edmonds
1444,Pagan
1445,Leslie
1446,Schafer
1447,Brandon
1448,Quick
1449,Curran
1450,Reynoso
1451,Gore
1452,Tipton
1453,Griggs
1454,Lowry
1455,Helton
1456,Reece
1457,Yarbrough
1458,Hidalgo
1459,Akers
1460,Bustamante
1461,Groves
1462,Hoskins
1463,Ackerman
1464,Tomlinson
1465,Quintanilla
1466,Fish
1467,Swift
1468,Childress
1469,Mayes
1470,Padgett
1471,Manley
1472,Coffman
1473,Anaya
1474,Angel
1475,Lund
1476,Heller
1477,Schmitz
1478,Kurtz
1479,Mcelroy
1480,Meredith
1481,Burrell
1482,Tolbert
1483,Benavides
1484,Crow
1485,Field
1486,Elkins
1487,Schulz
1488,Prado
1489,Tatum
1490,Mohammed
1491,Draper
1492,Clifton
1493,Funk
1494,Sanderson
1495,Navarrete
1496,Bowden
1497,Stover
1498,Metcalf
1499,Bloom
1500,Gunter
1501,Poe
1502,Aleman
1503,Olivares
1504,Mccauley
1505,Montalvo
1506,Holbrook
1507,Mcghee
1508,Teague
1509,Walden
1510,Crowder
1511,Buckner
1512,Crockett
1513,Mckinley
1514,Whalen
1515,Cabral
1516,Shin
1517,Desai
1518,Blanton
1519,Matos
1520,Tompkins
1521,Devine
1522,Kauffman
1523,Gunn
1524,Driscoll
1525,Chappell
1526,Newsome
1527,Gee
1528,Hollingsworth
1529,Shapiro
1530,Crews
1531,Nance
1532,Clement
1533,Stroud
1534,Steiner
1535,Goldman
1536,Dooley
1537,Kay
1538,Souza
1539,Inman
1540,Coates
1541,Kimball
1542,Amador
1543,Drew
1544,Larkin
1545,Mcmanus
1546,Doan
1547,Conklin
1548,Payton
1549,Pritchard
1550,Amos
1551,Crouch
1552,Ahmad
1553,Dubois
1554,Heard
1555,Masters
1556,Post
1557,Samuels
1558,Maher
1559,Lord
1560,Rainey
1561,Ivey
1562,Phipps
1563,Jewell
1564,Horner
1565,Cuellar
1566,Neely
1567,Feliciano
1568,Egan
1569,Bowles
1570,Pollock
1571,Swenson
1572,Bullard
1573,Rubin
1574,Thurman
1575,Hagen
1576,Pimentel
1577,Swan
1578,Coker
1579,Jeffries
1580,Browne
1581,Goins
1582,Polanco
1583,Brito
1584,Barragan
1585,Marrero
1586,Connelly
1587,Biggs
1588,Feldman
1589,Stratton
1590,Lacy
1591,Wesley
1592,Forrest
1593,Rodriquez
1594,Otto
1595,Gao
1596,Neff
1597,Aldridge
1598,Erwin
1599,Pinto
1600,Betancourt
1601,Hinkle
1602,Godwin
1603,Self
1604,Dickey
1605,Butcher
1606,Oleary
1607,Yeager
1608,Colbert
1609,Gallo
1610,Ornelas
1611,Casillas
1612,Whaley
1613,Colvin
1614,Lai
1615,Winn
1616,Otero
1617,Valdes
1618,Milligan
1619,Purcell
1620,Dunham
1621,Connell
1622,Sprague
1623,Tellez
1624,Ojeda
1625,Grimm
1626,Sheridan
1627,Piper
1628,Mead
1629,Mai
1630,Esposito
1631,Sewell
1632,Norwood
1633,Butts
1634,Boswell
1635,Snell
1636,Huggins
1637,Temple
1638,Davison
1639,Hadley
1640,Ybarra
1641,Thorpe
1642,Steward
1643,Dukes
1644,Blackmon
1645,Alonzo
1646,Meade
1647,Carbajal
1648,Ludwig
1649,Dodge
1650,Silver
1651,Wolff
1652,Galvez
1653,Lujan
1654,Valadez
1655,Engel
1656,Dahl
1657,Redmond
1658,Arrington
1659,Clifford
1660,Billings
1661,Winkler
1662,Cartwright
1663,Jarrett
1664,Bunch
1665,Ames
1666,Koenig
1667,Vickers
1668,Stahl
1669,Lilly
1670,Ohara
1671,Doss
1672,Godinez
1673,Abreu
1674,Goode
1675,Link
1676,Mcdonough
1677,Regan
1678,Healy
1679,Hand
1680,Rosen
1681,Babcock
1682,Bragg
1683,Hammer
1684,
1685,Sherwood
1686,Dinh
1687,Kraft
1688,Ramey
1689,Painter
1690,Geiger
1691,Bolden
1692,Peacock
1693,Oliveira
1694,Diamond
1695,Palma
1696,Kilgore
1697,Winston
1698,Escalante
1699,Guo
1700,Grove
1701,Leung
1702,Block
1703,Muhammad
1704,Miner
1705,Sadler
1706,Jorgensen
1707,Lima
1708,Voss
1709,Gary
1710,Thacker
1711,Hoyt
1712,Batista
1713,Begum
1714,Latham
1715,Ash
1716,Mcgraw
1717,Bower
1718,Brantley
1719,Cote
1720,Metzger
1721,Ha
1722,Delossantos
1723,Arreola
1724,Major
1725,Stanford
1726,Spivey
1727,Hager
1728,Lovell
1729,Patino
1730,Sotelo
1731,Beaver
1732,Willard
1733,Stiles
1734,Milton
1735,Zarate
1736,Finn
1737,Cahill
1738,Carlton
1739,Irvin
1740,Gagnon
1741,Platt
1742,Tidwell
1743,Henley
1744,Guidry
1745,Mena
1746,Marroquin
1747,Sepulveda
1748,Dugan
1749,Waddell
1750,Yee
1751,Venegas
1752,Hurt
1753,Raines
1754,Valentin
1755,Maurer
1756,Siegel
1757,Hagan
1758,Coulter
1759,Holliday
1760,Rai
1761,Cornell
1762,Araujo
1763,Tripp
1764,Houser
1765,Kruse
1766,Starks
1767,Timmons
1768,Lanier
1769,Escamilla
1770,Linares
1771,Land
1772,Crump
1773,Ferris
1774,Ordonez
1775,Schaffer
1776,Sheets
1777,Cummins
1778,Argueta
1779,Mcneal
1780,Westbrook
1781,Bassett
1782,Pedersen
1783,Carlisle
1784,Deal
1785,Toledo
1786,Eubanks
1787,Sapp
1788,Cheung
1789,Cullen
1790,Prieto
1791,Gamboa
1792,Posey
1793,Beal
1794,Mcmullen
1795,Paige
1796,Hurd
1797,Fontenot
1798,Hilliard
1799,Stoltzfus
1800,Castle
1801,Root
1802,Mcwilliams
1803,Jain
1804,Kearney
1805,Rendon
1806,Caruso
1807,Oh
1808,Gipson
1809,Ledesma
1810,Coyle
1811,Hackett
1812,Greenberg
1813,Bergeron
1814,Metz
1815,Washburn
1816,Hargrove
1817,Benoit
1818,Street
1819,Troyer
1820,Thomason
1821,Fernandes
1822,Hankins
1823,Murdock
1824,Mcqueen
1825,Roper
1826,Negron
1827,Cornelius
1828,Farr
1829,Olivas
1830,Hannah
1831,Wilhelm
1832,Oliva
1833,Hightower
1834,Fountain
1835,Lo
1836,North
1837,Isaac
1838,Barnard
1839,Christiansen
1840,Sizemore
1841,Lockwood
1842,Hussain
1843,Yi
1844,Trotter
1845,Arce
1846,Saavedra
1847,Stubbs
1848,Smiley
1849,Mccollum
1850,Messer
1851,Urban
1852,Blount
1853,Crocker
1854,Hwang
1855,Vallejo
1856,Dick
1857,Arteaga
1858,Keenan
1859,Carmichael
1860,Mehta
1861,Connors
1862,Epps
1863,Betts
1864,Langston
1865,Penn
1866,Brewster
1867,Duvall
1868,Boucher
1869,Mcneill
1870,Rushing
1871,Rudolph
1872,Lorenzo
1873,Casas
1874,Barnhart
1875,Eddy
1876,Vidal
1877,Mims
1878,Aranda
1879,Gaston
1880,Gifford
1881,Barrientos
1882,Burger
1883,Pritchett
1884,Rock
1885,Dobson
1886,Dong
1887,Gold
1888,Paulson
1889,Melvin
1890,Allred
1891,Barbosa
1892,Alarcon
1893,Keys
1894,Goodrich
1895,Lay
1896,Hinson
1897,Pulido
1898,Cronin
1899,Sheffield
1900,Shipley
1901,Chowdhury
1902,Napier
1903,Wiseman
1904,Layton
1905,Whitman
1906,Koehler
1907,Malik
1908,Tackett
1909,Salcedo
1910,Lopes
1911,Ledbetter
1912,Langford
1913,Toth
1914,Hsu
