LAST NAME,RANK
WARREN,186
MILLS,187
SOTO,188
GARZA,189
SANTOS,190
VAZQUEZ,191
RICE,192
SCHMIDT,193
DANIELS,194
WEAVER,195
GRANT,196
STEPHENS,197
FERGUSON,198
YANG,199
LE,200
RYAN,201
GARDNER,202
KELLEY,203
DUNN,204
PAYNE,205
NICHOLS,206
HAWKINS,207
SPENCER,208
PENA,209
HANSEN,210
ALVARADO,211
KNIGHT,212
PIERCE,213
ARNOLD,214
PETERS,215
ELLIOTT,216
HART,217
BRADLEY,218
RAY,219
HUDSON,220
ARMSTRONG,221
DUNCAN,222
LANE,223
RILEY,224
ANDREWS,225
CARROLL,226
DELGADO,227
NUNEZ,228
CUNNINGHAM,229
GEORGE,230
BERRY,231
LIU,232
RIOS,233
MATTHEWS,234
PERKINS,235
RICHARDS,236
JOHNSTON,237
SANTIAGO,238
CONTRERAS,239
GUERRERO,240
ESTRADA,241
WILLIS,242
ORTEGA,243
SANDOVAL,244
HOFFMAN,245
LAWRENCE,246
CARPENTER,247
GREENE,248
CHAPMAN,249
VALDEZ,250
WATKINS,251
ZHANG,252
MALDONADO,253
WHEELER,254
HARPER,255
BURKE,256
LARSON,257
VEGA,258
LIN,259
DOMINGUEZ,260
OBRIEN,261
MORRISON,262
CARLSON,263
FRANKLIN,264
CARR,265
JACOBS,266
LAWSON,267
JENSEN,268
LYNCH,269
AUSTIN,270
WONG,271
BISHOP,272
HARVEY,273
PARK,274
MONTGOMERY,275
MEJIA,276
SIMS,277
OLIVER,278
DEAN,279
WILLIAMSON,280
REID,281
ROJAS,282
JOSEPH,283
GILBERT,284
ESPINOZA,285
HOWELL,286
MCCOY,287
HANSON,288
LUNA,289
WEBER,290
MARQUEZ,291
BURTON,292
FULLER,293
ACOSTA,294
PADILLA,295
WELCH,296
BANKS,297
FIELDS,298
LUCAS,299
DAY,300
GARRETT,301
WALSH,302
KHAN,303
MAY,304
PHAM,305
LITTLE,306
WALTERS,307
DAVIDSON,308
BOWMAN,309
FIGUEROA,310
SCHULTZ,311
FOWLER,312
BREWER,313
HUANG,314
JUAREZ,315
MOLINA,316
PEARSON,317
WU,318
HOLLAND,319
SCHNEIDER,320
NAVARRO,321
CURTIS,322
NEWMAN,323
DOUGLAS,324
BARRETT,325
AVILA,326
CORTEZ,327
CAMPOS,328
KELLER,329
MIRANDA,330
WADE,331
HOPKINS,332
BECK,333
CHAMBERS,334
STANLEY,335
DELEON,336
BARNETT,337
AYALA,338
BATES,339
CALDWELL,340
LOWE,341
LAMBERT,342
FRAZIER,343
SCHWARTZ,344
DURAN,345
BYRD,346
POWERS,347
NEAL,348
CRAIG,349
FLEMING,350
SUTTON,351
LEONARD,352
RHODES,353
CARRILLO,354
COHEN,355
JENNINGS,356
CABRERA,357
MORAN,358
SHELTON,359
GREGORY,360
WATTS,361
LEON,362
STEELE,363
NORRIS,364
MCDANIEL,365
ALI,366
BECKER,367
PARKS,368
BARKER,369
VAUGHN,370
LOVE,371
TERRY,372
CHANG,373
LARA,374
HALE,375
HAYNES,376
FUENTES,377
BENSON,378
MILES,379
HOLT,380
MANN,381
ZIMMERMAN,382
LYONS,383
CHAN,384
ROBLES,385
DAWSON,386
HORTON,387
WOLFE,388
GRAVES,389
SALINAS,390
MCKINNEY,391
SOLIS,392
BUSH,393
WARNER,394
MCCARTHY,395
PAUL,396
FLETCHER,397
KLEIN,398
REEVES,399
PAGE,400
RIVAS,401
ERICKSON,402
SIMON,403
CERVANTES,404
VELASQUEZ,405
FRANCIS,406
DANIEL,407
OCHOA,408
HARDY,409
THORNTON,410
BALDWIN,411
PACHECO,412
SHAH,413
AGUIRRE,414
CALDERON,415
OCONNOR,416
DELACRUZ,417
CUMMINGS,418
SERRANO,419
BALL,420
CARDENAS,421
HIGGINS,422
BOWEN,423
GILL,424
GRIFFITH,425
SHARP,426
ROBBINS,427
BLAIR,428
QUINN,429
BARBER,430
KAUR,431
CROSS,432
ROSALES,433
RAMSEY,434
CHRISTENSEN,435
MOSS,436
AHMED,437
DENNIS,438
SWANSON,439
CHANDLER,440
RODGERS,441
FITZGERALD,442
CURRY,443
ROMAN,444
STEVENSON,445
MCLAUGHLIN,446
DOYLE,447
MANNING,448
GARNER,449
BLAKE,450
WALTON,451
NEWTON,452
MCGEE,453
REESE,454
GROSS,455
BURGESS,456
MONTOYA,457
FRANCO,458
HARMON,459
FISCHER,460
TRUJILLO,461
ADKINS,462
PERSON,463
WEBSTER,464
BRADY,465
CLARKE,466
WOLF,467
MACK,468
GOODMAN,469
COLON,470
POTTER,471
GOODWIN,472
SUAREZ,473
CASTANEDA,474
HINES,475
ESCOBAR,476
GUERRA,477
TODD,478
TATE,479
CANNON,480
HUBBARD,481
MULLINS,482
ROWE,483
CAMACHO,484
VALENCIA,485
HODGES,486
SAUNDERS,487
GALLAGHER,488
MALONE,489
FARMER,490
HAMPTON,491
TOWNSEND,492
SHERMAN,493
HAMMOND,494
YU,495
INGRAM,496
MAXWELL,497
GALLEGOS,498
WISE,499
OROZCO,500
VELAZQUEZ,501
SCHROEDER,502
HUYNH,503
WATERS,504
ANDRADE,505
BARTON,506
LOGAN,507
YODER,508
PARSONS,509
SANTANA,510
BUCHANAN,511
GLOVER,512
OSBORNE,513
NORMAN,514
HARRINGTON,515
FRANK,516
STRICKLAND,517
PINEDA,518
CASEY,519
FLOYD,520
IBARRA,521
SALAS,522
GIBBS,523
PATTON,524
BOWERS,525
CHARLES,526
BAUER,527
TYLER,528
COBB,529
MUELLER,530
LLOYD,531
VILLANUEVA,532
MERCADO,533
MCGUIRE,534
MCBRIDE,535
MOODY,536
FLYNN,537
VILLARREAL,538
FRENCH,539
ZAMORA,540
POPE,541
HARTMAN,542
MCCORMICK,543
SPARKS,544
CONNER,545
HOGAN,546
KRAMER,547
LINDSEY,548
MACIAS,549
YATES,550
LANG,551
SHEPHERD,552
MARSH,553
BAUTISTA,554
LAM,555
NORTON,556
BARRERA,557
PRATT,558
STOKES,559
DRAKE,560
OWEN,561
ARIAS,562
PETERSEN,563
CAIN,564
MELENDEZ,565
BROCK,566
TREVINO,566
BURNETT,568
MCKENZIE,569
MORTON,570
OLSEN,571
LAMB,572
HESS,573
BALLARD,574
PATRICK,575
LOZANO,576
SHAFFER,577
MORA,578
NASH,579
HOOVER,580
COCHRAN,581
VANG,582
ROTH,583
FLOWERS,584
HOLLOWAY,585
WILKINS,586
ZUNIGA,587
WEISS,588
RANGEL,589
BRIGGS,590
HO,591
NICHOLSON,592
LARSEN,593
HOUSTON,594
MEYERS,595
GREER,596
DECKER,597
BRYAN,598
ROBERSON,599
SUMMERS,600
BASS,601
BONILLA,602
SHORT,603
COLLIER,604
VALENZUELA,605
ROY,606
UNDERWOOD,607
CARSON,608
MORROW,609
WHITAKER,610
CLAYTON,611
ROCHA,612
WILCOX,613
CAREY,614
JEFFERSON,615
DAVENPORT,616
VELEZ,617
MONROE,618
COPELAND,619
HUFF,620
SOSA,621
CONLEY,622
POOLE,623
CHOI,624
CAMERON,625
MASSEY,626
ROSARIO,627
HOOD,628
ACEVEDO,629
PITTMAN,630
BENITEZ,631
SINGLETON,632
ANTHONY,633
MEZA,634
WALL,635
BRADFORD,636
SKINNER,637
COMBS,638
RANDALL,639
GALVAN,640
KIRBY,641
ATKINSON,642
BRIDGES,643
BOONE,644
MATHIS,645
WILKINSON,646
VINCENT,647
GATES,648
KIRK,649
RICHARD,650
CHRISTIAN,651
BRUCE,652
VILLA,653
ZAVALA,654
HODGE,655
YORK,656
BOND,657
FARRELL,658
TAPIA,659
SWEENEY,660
ABBOTT,661
WYATT,662
RUBIO,663
PHELPS,664
ALLISON,665
ARROYO,666
FOLEY,667
CORTES,668
CHASE,669
DICKERSON,670
MATHEWS,671
HEATH,672
ONEILL,673
ATKINS,674
CISNEROS,675
SHIELDS,676
BELTRAN,677
HORN,678
BARRON,679
DALTON,680
SAVAGE,681
CALLAHAN,682
PONCE,683
KANE,684
HARRELL,685
GLENN,686
GUEVARA,687
WIGGINS,688
GARRISON,689
BOYER,690
CANTU,691
HUFFMAN,692
PHAN,693
HANCOCK,694
WARE,695
RICH,696
BRENNAN,697
DILLON,698
CLINE,699
ARELLANO,700
HENSLEY,701
GOLDEN,702
KOCH,703
MCDOWELL,704
MONTES,705
PARRISH,706
MARKS,707
BARRY,708
GRIMES,709
CLAY,710
VILLEGAS,711
BAXTER,712
PITTS,713
BOOTH,714
MATA,715
WILEY,716
LU,717
SAWYER,718
MELTON,719
BERG,720
GILMORE,721
HUMPHREY,722
STEPHENSON,723
PRINCE,724
SOLOMON,725
DEJESUS,726
SHARMA,727
TANNER,728
SNOW,729
HOBBS,730
DYER,731
DAVID,732
ONEAL,733
MCCLAIN,734
JOHNS,735
MOON,736
HUTCHINSON,737
BEARD,738
WALTER,739
RUSSO,740
HENSON,741
MCCLURE,742
MURILLO,743
MOSLEY,744
WILKERSON,745
BEASLEY,746
HUERTA,747
TRUONG,748
KEITH,749
XIONG,750
VO,751
MACDONALD,752
PRESTON,753
VANCE,754
DAVILA,755
EATON,756
ENGLISH,757
HURST,758
BLACKWELL,759
PALACIOS,760
SMALL,761
KEMP,762
XU,763
STAFFORD,764
CORDOVA,765
CHUNG,766
SHANNON,767
MARIN,768
MCCULLOUGH,769
NOLAN,770
SALGADO,771
MERRITT,772
VU,773
STRONG,774
WOODARD,775
WINTERS,776
BARAJAS,777
KLINE,778
CUEVAS,779
KERR,780
ZHENG,781
KNOX,782
DUARTE,783
ODONNELL,784
BARR,785
ROSAS,786
JACOBSON,787
MEADOWS,788
LESTER,789
BULLOCK,790
GAINES,791
MCINTYRE,792
CONWAY,793
TANG,794
ORR,795
NIELSEN,796
LEACH,797
ROACH,798
KENT,799
WHITEHEAD,800
PRUITT,801
MCKEE,802
BRAVO,803
DORSEY,804
HULL,805
BERGER,806
BARTLETT,807
SLOAN,808
MCLEAN,809
ESPARZA,810
MCCALL,811
STEIN,812
LEBLANC,813
BROWNING,814
CALHOUN,814
HENDRICKS,816
DURHAM,817
HANNA,818
VENTURA,819
STOUT,820
GENTRY,821
BUCK,822
MIDDLETON,822
BLANKENSHIP,824
MCINTOSH,825
QUINTERO,826
MOHAMED,827
BRADSHAW,828
ELLISON,829
FROST,830
SEXTON,831
LOWERY,832
LIVINGSTON,833
SELLERS,834
PORTILLO,835
GILLESPIE,836
FELIX,837
NOBLE,838
LIM,839
BUCKLEY,840
HARDIN,841
HOUSE,842
GLASS,843
ENRIQUEZ,844
SPEARS,845
HOWE,846
BLANCO,847
KNAPP,847
MEDRANO,849
TREJO,850
CORONA,851
STARK,852
REILLY,853
MORSE,854
BENJAMIN,855
TAN,856
SCHAEFER,857
MCFARLAND,858
WEEKS,859
BENTLEY,860
GILES,861
PENNINGTON,862
FREDERICK,863
HAHN,864
CHENG,865
RANDOLPH,866
FITZPATRICK,867
HERMAN,868
WALLS,869
HEBERT,870
ZHOU,871
VALENTINE,872
LUGO,873
CROSBY,874
MAYS,875
PIERRE,876
ZHAO,877
DONOVAN,878
HICKMAN,879
MCMILLAN,880
NGO,881
CONRAD,882
BERNAL,883
MAHONEY,884
LUCERO,885
PACE,886
DELAROSA,887
MOSES,888
PERALTA,889
COSTA,890
HURLEY,891
MA,892
MCMAHON,893
ESPINOSA,894
RAYMOND,894
CASE,896
MCCONNELL,897
FRIEDMAN,898
HARDING,899
BENDER,900
NAVA,901
CORREA,902
DO,902
PECK,904
BOYLE,905
VAUGHAN,906
LANDRY,907
BERNARD,908
MICHAEL,909
EVERETT,910
MAYER,911
RIVERS,912
SAMPSON,913
PUGH,914
BLACKBURN,915
DUFFY,915
KUMAR,917
RUSH,918
JOHN,919
CANO,920
AVERY,921
MAGANA,922
VILLALOBOS,923
AYERS,924
GOULD,925
MCKAY,926
DUNLAP,927
SHEPARD,928
SUN,929
DANG,930
FRY,931
LYNN,932
CLEMENTS,933
BEST,934
CRANE,935
ANDERSEN,936
BLANCHARD,937
LEVY,938
QUINTANA,939
BLEVINS,940
ASHLEY,941
POTTS,942
ALFARO,943
AVALOS,944
FARLEY,945
FINLEY,946
NIEVES,947
ESQUIVEL,948
AMAYA,949
DOUGHERTY,950
PARRA,951
HOANG,952
HAN,953
BENTON,954
LEAL,955
HERRING,956
SIERRA,957
NIXON,958
HAYDEN,959
JARAMILLO,960
GALINDO,961
HALEY,962
MOYER,963
CHO,964
BOOKER,965
ZHU,966
DODSON,967
KRUEGER,968
FRYE,969
RICHMOND,970
MULLEN,971
HUBER,972
BEAN,973
BUI,974
HORNE,975
RASMUSSEN,976
SHEPPARD,977
WOODWARD,978
MCPHERSON,979
BRANDT,980
MCCARTY,981
DONALDSON,982
QUINONES,983
SPENCE,984
KANG,985
OCONNELL,986
MAYNARD,987
SCHMITT,988
ESTES,989
SANFORD,990
MADDOX,991
COFFEY,992
STUART,993
BURCH,994
CARDONA,995
GOOD,996
STANTON,997
FAULKNER,998
DUDLEY,999
COMPTON,"1,000"
HINTON,"1,001"
CHURCH,"1,002"
WALLER,"1,003"
REYNA,"1,004"
CHERRY,"1,005"
MADDEN,"1,006"
ROSA,"1,007"
PROCTOR,"1,008"
MCCANN,"1,009"
DAVIES,"1,010"
ABRAHAM,"1,011"
HAAS,"1,012"
TERRELL,"1,013"
JIANG,"1,014"
BIRD,"1,015"
KAUFMAN,"1,016"
JARVIS,"1,017"
BRAUN,"1,018"
MCGRATH,"1,019"
GALLOWAY,"1,020"
NOVAK,"1,021"
DICKSON,"1,022"
MAYO,"1,023"
LY,"1,024"
HESTER,"1,025"
HENDRIX,"1,026"
ARCHER,"1,027"
PETTY,"1,028"
WHITNEY,"1,029"
ROLLINS,"1,030"
BARRIOS,"1,031"
FORBES,"1,032"
SAENZ,"1,032"
BAIRD,"1,034"
POLLARD,"1,035"
DUKE,"1,036"
DAUGHERTY,"1,037"
WERNER,"1,038"
ROWLAND,"1,039"
ODOM,"1,040"
TRAVIS,"1,041"
CANTRELL,"1,042"
VERA,"1,043"
SALDANA,"1,044"
HATFIELD,"1,045"
HAYS,"1,046"
HONG,"1,047"
HOLDEN,"1,048"
BRANCH,"1,049"
MCKNIGHT,"1,050"
MERCER,"1,051"
JOYCE,"1,052"
RIGGS,"1,053"
BAEZ,"1,054"
ZAPATA,"1,055"
VELASCO,"1,056"
DOWNS,"1,057"
KRAUSE,"1,058"
MCNEIL,"1,059"
HOOPER,"1,060"
NG,"1,060"
BARLOW,"1,062"
IRWIN,"1,063"
TOVAR,"1,064"
COOLEY,"1,065"
LIANG,"1,066"
BRAY,"1,067"
KAISER,"1,068"
GAMBLE,"1,069"
PEREIRA,"1,070"
FERRELL,"1,071"
LAW,"1,072"
LINDSAY,"1,073"
BRIGHT,"1,074"
KIDD,"1,074"
EWING,"1,076"
NOEL,"1,077"
HOLDER,"1,078"
FREY,"1,079"
MCGOWAN,"1,080"
SHEA,"1,081"
MOONEY,"1,082"
KEY,"1,083"
CHANEY,"1,084"
COTTON,"1,085"
RITTER,"1,086"
BECERRA,"1,087"
BONNER,"1,088"
CARNEY,"1,089"
GUPTA,"1,090"
LEHMAN,"1,091"
DOTSON,"1,092"
MERRILL,"1,093"
HANEY,"1,094"
RIDDLE,"1,095"
COOKE,"1,096"
HOLMAN,"1,097"
NEWELL,"1,098"
FRITZ,"1,099"
AGUILERA,"1,100"
DELANEY,"1,101"
DAILEY,"1,102"
BOLTON,"1,103"
LANCASTER,"1,104"
SONG,"1,105"
CASTELLANOS,"1,106"
HASSAN,"1,107"
LAKE,"1,108"
CORDERO,"1,109"
JUSTICE,"1,110"
OSBORN,"1,111"
BYERS,"1,112"
GOFF,"1,113"
SLATER,"1,114"
LEVINE,"1,115"
VALLE,"1,116"
SEARS,"1,117"
FULTON,"1,118"
WINTER,"1,119"
MUNIZ,"1,120"
COSTELLO,"1,121"
KATZ,"1,122"
GALLARDO,"1,123"
CARVER,"1,124"
MCFADDEN,"1,125"
GUTHRIE,"1,126"
COWAN,"1,127"
DALY,"1,128"
KUHN,"1,129"
ALBERT,"1,130"
SNIDER,"1,131"
MCLEOD,"1,132"
GUY,"1,133"
LUTZ,"1,134"
WORKMAN,"1,135"
LAU,"1,136"
PICKETT,"1,137"
DONNELLY,"1,138"
MALONEY,"1,139"
KINNEY,"1,140"
SPRINGER,"1,141"
SEGURA,"1,142"
WITT,"1,143"
ORELLANA,"1,144"
GORMAN,"1,145"
MINOR,"1,146"
MARINO,"1,147"
CRAFT,"1,148"
CROWLEY,"1,149"
PEARCE,"1,150"
CLEVELAND,"1,151"
DONAHUE,"1,152"
GAY,"1,153"
CHU,"1,154"
BEACH,"1,155"
HURTADO,"1,156"
MCDERMOTT,"1,157"
TILLMAN,"1,158"
GUILLEN,"1,159"
BRUNO,"1,160"
DILLARD,"1,161"
OSORIO,"1,162"
VOGEL,"1,162"
HU,"1,164"
ALFORD,"1,165"
FLANAGAN,"1,166"
MCCABE,"1,167"
BRITT,"1,168"
ALONSO,"1,169"
WILDER,"1,170"
HARTLEY,"1,171"
WOOTEN,"1,172"
CARRASCO,"1,173"
LANGE,"1,174"
DODD,"1,175"
STARR,"1,176"
HENDRICKSON,"1,177"
SHOEMAKER,"1,178"
FINCH,"1,179"
ODELL,"1,180"
MOSER,"1,181"
EMERSON,"1,182"
FERREIRA,"1,183"
SAUCEDO,"1,184"
MACKEY,"1,185"
FRANKS,"1,186"
WHITFIELD,"1,187"
KENDALL,"1,188"
SWEET,"1,189"
WELSH,"1,190"
DUONG,"1,191"
HOLLEY,"1,192"
CABALLERO,"1,193"
CHACON,"1,194"
BACON,"1,195"
CROWE,"1,195"
ZEPEDA,"1,197"
BYRNE,"1,198"
CHILDERS,"1,199"
CASH,"1,200"
ELDER,"1,201"
MAYFIELD,"1,201"
ALSTON,"1,203"
RODRIGUES,"1,203"
CONNOLLY,"1,205"
SUTHERLAND,"1,206"
KIRKLAND,"1,207"
MEEKS,"1,208"
VIGIL,"1,209"
TALLEY,"1,210"
HEWITT,"1,211"
GIBBONS,"1,212"
LEMUS,"1,213"
CRAMER,"1,214"
WYNN,"1,215"
RICHTER,"1,216"
CAMP,"1,217"
CONNOR,"1,218"
DALE,"1,219"
ENGLAND,"1,220"
RATLIFF,"1,221"
MCALLISTER,"1,222"
RITCHIE,"1,223"
SHARPE,"1,224"
HELMS,"1,225"
GOLDBERG,"1,226"
TRACY,"1,227"
GOLDSTEIN,"1,228"
MORIN,"1,229"
ONEIL,"1,230"
KESSLER,"1,231"
FARRIS,"1,232"
GILLIAM,"1,233"
ARREDONDO,"1,234"
HYDE,"1,235"
PATE,"1,236"
GODFREY,"1,237"
ROSADO,"1,238"
JOYNER,"1,239"
TYSON,"1,240"
CHILDS,"1,241"
HATCHER,"1,242"
CHAMBERLAIN,"1,243"
CARRANZA,"1,244"
CHIN,"1,245"
SORENSEN,"1,246"
ROMANO,"1,247"
DOWNING,"1,248"
MOBLEY,"1,249"
BRITTON,"1,250"
HAINES,"1,251"
ESCOBEDO,"1,252"
HICKEY,"1,253"
KAPLAN,"1,254"
GRACE,"1,255"
HILTON,"1,256"
CORONADO,"1,257"
BERMUDEZ,"1,258"
HOLCOMB,"1,259"
PAREDES,"1,260"
SINCLAIR,"1,261"
RANKIN,"1,262"
KNOWLES,"1,263"
ARTHUR,"1,264"
KERN,"1,265"
DYE,"1,266"
AQUINO,"1,267"
PAZ,"1,268"
WOMACK,"1,269"
HOLLIS,"1,270"
VARELA,"1,271"
MADISON,"1,272"
FOREMAN,"1,273"
GIL,"1,274"
LYON,"1,275"
FINK,"1,276"
WILLS,"1,277"
DELATORRE,"1,278"
HASTINGS,"1,279"
DOHERTY,"1,280"
RENTERIA,"1,281"
LOCKHART,"1,282"
QUIROZ,"1,283"
DENTON,"1,284"
OLVERA,"1,285"
HE,"1,286"
MCCRAY,"1,287"
MANUEL,"1,288"
THAO,"1,289"
RUTHERFORD,"1,290"
SYKES,"1,291"
PIERSON,"1,292"
SARGENT,"1,293"
HATCH,"1,294"
MONTANO,"1,295"
DWYER,"1,296"
BURKS,"1,297"
BELCHER,"1,298"
PRYOR,"1,299"
BOGGS,"1,300"
MADRID,"1,301"
GABRIEL,"1,302"
TUTTLE,"1,303"
BACA,"1,304"
MAGEE,"1,305"
MULLER,"1,306"
JAMISON,"1,307"
RAHMAN,"1,308"
FONSECA,"1,309"
CARMONA,"1,310"
MCKENNA,"1,311"
DOLAN,"1,312"
BROUSSARD,"1,313"
BURGOS,"1,314"
LOUIS,"1,315"
SORIANO,"1,316"
COVINGTON,"1,317"
SLAUGHTER,"1,318"
KENDRICK,"1,319"
LANGLEY,"1,320"
KENNEY,"1,321"
LEYVA,"1,322"
MADRIGAL,"1,323"
CAO,"1,324"
GRANADOS,"1,325"
MCGILL,"1,326"
BOYCE,"1,327"
HOPPER,"1,328"
HEAD,"1,329"
DEMPSEY,"1,330"
SHEEHAN,"1,331"
QUEZADA,"1,332"
HARDEN,"1,333"
MCNAMARA,"1,334"
COURTNEY,"1,335"
PUCKETT,"1,336"
LOCKE,"1,337"
IBRAHIM,"1,338"
MICHEL,"1,339"
CLEMONS,"1,340"
CORBIN,"1,341"
BURT,"1,342"
STINSON,"1,342"
WEBBER,"1,344"
POLK,"1,345"
MCGINNIS,"1,346"
CASSIDY,"1,347"
ROMO,"1,348"
AVILES,"1,349"
RICO,"1,350"
RUCKER,"1,351"
HERRON,"1,352"
HINOJOSA,"1,353"
LOTT,"1,354"
SHIRLEY,"1,355"
STERLING,"1,356"
BLAND,"1,357"
HAMM,"1,358"
DICKINSON,"1,359"
GOMES,"1,359"
RUTLEDGE,"1,361"
DOWNEY,"1,362"
DUNBAR,"1,363"
PIKE,"1,363"
ROBISON,"1,365"
WHITLEY,"1,366"
JACOB,"1,367"
OCAMPO,"1,368"
CHRISTOPHER,"1,369"
ELIAS,"1,370"
SIMMS,"1,371"
GAMEZ,"1,372"
GUSTAFSON,"1,373"
JUNG,"1,374"
KIRKPATRICK,"1,375"
BURRIS,"1,376"
NIETO,"1,377"
NICHOLAS,"1,378"
BINGHAM,"1,379"
GOSS,"1,380"
MEIER,"1,381"
PINA,"1,382"
FRASER,"1,383"
BOWLING,"1,384"
CORBETT,"1,385"
ROUSE,"1,386"
ROSSI,"1,387"
GRADY,"1,388"
COUCH,"1,389"
OTT,"1,390"
AREVALO,"1,391"
DEWITT,"1,392"
YANEZ,"1,393"
GARLAND,"1,394"
ARAGON,"1,395"
WOODRUFF,"1,396"
DASILVA,"1,397"
SERNA,"1,398"
CRABTREE,"1,399"
SINGER,"1,400"
JEAN,"1,401"
CANALES,"1,402"
ELMORE,"1,403"
ROE,"1,404"
MACHADO,"1,405"
STERN,"1,406"
WESTON,"1,407"
SAMUEL,"1,408"
FRANCISCO,"1,409"
SHAFER,"1,410"
HUTCHINS,"1,411"
SIMONS,"1,412"
ABRAMS,"1,413"
DALEY,"1,414"
SMART,"1,414"
EMERY,"1,416"
BATTLE,"1,417"
VINSON,"1,418"
GLEASON,"1,419"
MCCLELLAN,"1,420"
BEATTY,"1,421"
HERBERT,"1,422"
SCHUMACHER,"1,423"
GIVENS,"1,424"
WORLEY,"1,425"
SEYMOUR,"1,426"
PLUMMER,"1,427"
THOMSON,"1,427"
ROSENBERG,"1,429"
ERVIN,"1,430"
VELA,"1,431"
HUTCHISON,"1,432"
ALBRIGHT,"1,433"
ELDRIDGE,"1,434"
URIBE,"1,435"
BLUE,"1,436"
ZIEGLER,"1,437"
SOLANO,"1,438"
NIX,"1,439"
SWARTZ,"1,440"
GREENWOOD,"1,441"
GREGG,"1,442"
SWAIN,"1,443"
EDMONDS,"1,444"
PAGAN,"1,445"
LESLIE,"1,446"
SCHAFER,"1,447"
BRANDON,"1,448"
QUICK,"1,449"
CURRAN,"1,450"
REYNOSO,"1,450"
GORE,"1,452"
TIPTON,"1,453"
GRIGGS,"1,454"
LOWRY,"1,454"
HELTON,"1,456"
REECE,"1,457"
YARBROUGH,"1,458"
HIDALGO,"1,459"
AKERS,"1,460"
BUSTAMANTE,"1,461"
GROVES,"1,462"
HOSKINS,"1,463"
ACKERMAN,"1,464"
TOMLINSON,"1,465"
QUINTANILLA,"1,466"
FISH,"1,467"
SWIFT,"1,468"
CHILDRESS,"1,469"
MAYES,"1,470"
PADGETT,"1,471"
MANLEY,"1,472"
COFFMAN,"1,473"
ANAYA,"1,474"
ANGEL,"1,475"
LUND,"1,476"
HELLER,"1,477"
SCHMITZ,"1,478"
KURTZ,"1,479"
MCELROY,"1,479"
MEREDITH,"1,481"
BURRELL,"1,482"
TOLBERT,"1,483"
BENAVIDES,"1,484"
CROW,"1,485"
FIELD,"1,486"
ELKINS,"1,487"
SCHULZ,"1,488"
PRADO,"1,489"
TATUM,"1,490"
MOHAMMED,"1,491"
DRAPER,"1,492"
CLIFTON,"1,493"
FUNK,"1,494"
SANDERSON,"1,495"
